Ref #,Activity,Project Title,Country,Delivery Partner,Region,SIDS,LDCs,NAP,Status,Approved Date,Financing,approved_date,financing,year,duration_days,event_closed,event_resolved,state_id,log_financing,velocity,stagnation_flag,bottleneck_flag,financing_outlier_flag,entity_code,entity_name,entity_country,entity_dae,entity_type,entity_stage,entity_bm,entity_size,entity_sector,entity_approved_count,entity_fa_financing,entity_match
RWA-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,Rwanda,FONERWA_RWA,AF,False,True,False,Closed,2 Jul 2015,300000.0,2015-07-02,300000.0,2015,3894.0,1,1,4,12.611541086966115,77.04160246533128,0,0,0,,,,,,,,,,,,False
THA-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening,Thailand,GIZ,AP,False,False,False,Closed,3 Jul 2015,292184.0,2015-07-03,292184.0,2015,3893.0,1,1,4,12.585142442278807,75.05368610326227,0,0,0,GIZ,Deutsche Gesellschaft fuer Internationale Zusammenarbeit (GIZ) GmbH,Germany,False,International,Effectiveness,B.14, Medium,Public,13.0,484433798.01,True
MLI-RS-002,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,Mali,SahelEco_MLI,AF,False,True,False,Closed,3 Jul 2015,252000.0,2015-07-03,252000.0,2015,3893.0,1,1,4,12.437188334739655,64.73156948368867,0,0,0,,,,,,,,,,,,False
PwC,Support for direct access entities (ES),Direct Access Entity Support,Niue,PwC_GBR,AP,True,False,False,Closed,14 Jul 2015,37000.0,2015-07-14,37000.0,2015,3882.0,1,1,4,10.518700218288165,9.5311695002576,0,0,0,,,,,,,,,,,,False
ATG-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,Antigua and Barbuda,DOE_ATG,LAC,True,False,False,Closed,7 Aug 2015,300000.0,2015-08-07,300000.0,2015,3858.0,1,1,4,12.611541086966115,77.76049766718506,0,0,0,DOE_ATG,"Department of Environment, Ministry of Health and Environment, Government of Antigua and Barbuda",Antigua and Barbuda,True,National,Effectiveness,B.18," Medium, Small",Public,2.0,52706595.0,True
COK-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening,Cook Islands,MFEM_COK,AP,True,False,False,Closed,25 Aug 2015,150000.0,2015-08-25,150000.0,2015,3840.0,1,1,4,11.918397239722838,39.0625,0,0,0,MFEM_COK,"Ministry of Finance and Economic Management, Cook Islands",Cook Islands,True,National,Effectiveness,B.21, Small,Public,2.0,52494884.0,True
SLV-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,El Salvador,Viceministerio de Cooperación para el Desarrollo (VMCD) Deputy Ministry of Development Cooperation,LAC,False,False,False,Cancelled,1 Sept 2015,1.0,2015-09-01,1.0,2015,3833.0,0,1,0,0.6931471805599453,0.00026089225150013044,0,0,0,,,,,,,,,,,,False
VUT-RS-002,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,Vanuatu,GIZ,AP,True,False,False,Closed,11 Sept 2015,300000.0,2015-09-11,300000.0,2015,3823.0,1,1,4,12.611541086966115,78.47240387130526,0,0,0,GIZ,Deutsche Gesellschaft fuer Internationale Zusammenarbeit (GIZ) GmbH,Germany,False,International,Effectiveness,B.14, Medium,Public,13.0,484433798.01,True
BOL-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,Bolivia (Plurinational State of),"Bolivia, Ministry of Development Planning",LAC,False,False,False,Closed,1 Oct 2015,300000.0,2015-10-01,300000.0,2015,3803.0,1,1,4,12.611541086966115,78.88509071785433,0,0,0,,,,,,,,,,,,False
PwC,Support for direct access entities (ES),Direct Access Entity Support,Kenya,PwC_GBR,AF,False,False,False,Closed,18 Oct 2015,37000.0,2015-10-18,37000.0,2015,3786.0,1,1,4,10.518700218288165,9.77284733227681,0,0,0,,,,,,,,,,,,False
GUY-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,Guyana,CCCCC,LAC,True,False,False,Closed,20 Oct 2015,300000.0,2015-10-20,300000.0,2015,3784.0,1,1,4,12.611541086966115,79.28118393234672,0,0,0,CCCCC,Caribbean Community Climate Change Centre,Belize,True,Regional,Effectiveness,B.10, Small,Public,4.0,116522592.29,True
MNG-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)","Establishing and strengthening National Designated Authority (NDA) and Focal Point (NFP), and Strategic frameworks for engagement with the Fund, including the preparation of country programmes ",Mongolia,XacBank,AP,False,False,False,Closed,22 Oct 2015,300000.0,2015-10-22,300000.0,2015,3782.0,1,1,4,12.611541086966115,79.32310946589106,0,0,0,XacBank,XacBank JSC (Mongolia),Mongolia,True,National,Effectiveness,B.14, Small,Private,4.0,65304153.0,True
SEN-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,Senegal,CSE,AF,False,True,False,Closed,28 Oct 2015,300000.0,2015-10-28,300000.0,2015,3776.0,1,1,4,12.611541086966115,79.44915254237289,0,0,0,CSE,Centre de Suivi Ecologique,Senegal,True,National,Effectiveness,B.09, Micro,Public,2.0,18371104.64,True
ZMB-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,Zambia,Zambia,AF,False,True,False,Disbursed,28 Oct 2015,300000.0,2015-10-28,300000.0,2015,3776.0,0,0,3,12.611541086966115,79.44915254237289,0,0,0,,,,,,,,,,,,False
TCD-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,Chad,CSE,AF,False,True,False,Closed,3 Nov 2015,300000.0,2015-11-03,300000.0,2015,3770.0,1,1,4,12.611541086966115,79.57559681697613,0,0,0,CSE,Centre de Suivi Ecologique,Senegal,True,National,Effectiveness,B.09, Micro,Public,2.0,18371104.64,True
PHL-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",Philippine Green Climate Fund (GCF) Readiness Program Track 1,Philippines (the),DENR_PHL,AP,False,False,False,Cancelled,13 Nov 2015,1.0,2015-11-13,1.0,2015,3760.0,0,1,0,0.6931471805599453,0.00026595744680851064,0,0,0,,,,,,,,,,,,False
PAK-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,Pakistan,NRSP,AP,False,False,False,Closed,13 Nov 2015,300000.0,2015-11-13,300000.0,2015,3760.0,1,1,4,12.611541086966115,79.7872340425532,0,0,0,NRSP,National Rural Support Programme (Pakistan),Pakistan,True,National,Effectiveness,B.21, Small,Public,1.0,25000000.0,True
BGD-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",Country Programming,Bangladesh,UNDP,AP,False,True,False,Closed,1 Dec 2015,150000.0,2015-12-01,150000.0,2015,3742.0,1,1,4,11.918397239722838,40.085515766969536,0,0,0,UNDP,United Nations Development Programme,United States,False,International,Effectiveness,B.09, Medium,Public,41.0,1364041091.0,True
LBR-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,Liberia,UNDP,AF,False,True,False,Closed,7 Dec 2015,300000.0,2015-12-07,300000.0,2015,3736.0,1,1,4,12.611541086966115,80.29978586723769,0,0,0,UNDP,United Nations Development Programme,United States,False,International,Effectiveness,B.09, Medium,Public,41.0,1364041091.0,True
GIN-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,Guinea,UNDP,AF,False,True,False,Closed,16 Dec 2015,300000.0,2015-12-16,300000.0,2015,3727.0,1,1,4,12.611541086966115,80.49369466058492,0,0,0,UNDP,United Nations Development Programme,United States,False,International,Effectiveness,B.09, Medium,Public,41.0,1364041091.0,True
DJI-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,Djibouti,CSE,AF,False,True,False,Closed,29 Dec 2015,300000.0,2015-12-29,300000.0,2015,3714.0,1,1,4,12.611541086966115,80.77544426494346,0,0,0,CSE,Centre de Suivi Ecologique,Senegal,True,National,Effectiveness,B.09, Micro,Public,2.0,18371104.64,True
KEN-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening,Kenya,Kenya,AF,False,False,False,Cancelled,29 Dec 2015,1.0,2015-12-29,1.0,2015,3714.0,0,1,0,0.6931471805599453,0.00026925148088314486,0,0,0,,,,,,,,,,,,False
IND-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,India,UNDP,AP,False,False,False,Closed,29 Dec 2015,300000.0,2015-12-29,300000.0,2015,3714.0,1,1,4,12.611541086966115,80.77544426494346,0,0,0,UNDP,United Nations Development Programme,United States,False,International,Effectiveness,B.09, Medium,Public,41.0,1364041091.0,True
SWZ-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening & country programming ,Eswatini,UNDP,AF,False,False,False,Cancelled,13 Jan 2016,968.26,2016-01-13,968.26,2016,3699.0,0,1,0,6.876532893753426,0.2617626385509597,0,0,0,UNDP,United Nations Development Programme,United States,False,International,Effectiveness,B.09, Medium,Public,41.0,1364041091.0,True
PwC,Support for direct access entities (ES),Direct Access Entity Support,Pakistan,PwC_GBR,AP,False,False,False,Closed,18 Jan 2016,37000.0,2016-01-18,37000.0,2016,3694.0,1,1,4,10.518700218288165,10.016242555495397,0,0,0,,,,,,,,,,,,False
PwC,Support for direct access entities (ES),Direct Access Entity Support,Micronesia (Federated States of),PwC_GBR,AP,True,False,False,Closed,18 Jan 2016,37000.0,2016-01-18,37000.0,2016,3694.0,1,1,4,10.518700218288165,10.016242555495397,0,0,0,,,,,,,,,,,,False
PwC,Support for direct access entities (ES),Direct Access Entity Support,Mexico,PwC_GBR,LAC,False,False,False,Closed,18 Jan 2016,37000.0,2016-01-18,37000.0,2016,3694.0,1,1,4,10.518700218288165,10.016242555495397,0,0,0,,,,,,,,,,,,False
PwC,Support for direct access entities (ES),Direct Access Entity Support,Cambodia,PwC_GBR,AP,False,True,False,Closed,18 Jan 2016,37000.0,2016-01-18,37000.0,2016,3694.0,1,1,4,10.518700218288165,10.016242555495397,0,0,0,,,,,,,,,,,,False
CHL-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,Chile,CICA,LAC,False,False,False,Closed,28 Jan 2016,300000.0,2016-01-28,300000.0,2016,3684.0,1,1,4,12.611541086966115,81.43322475570032,0,0,0,,,,,,,,,,,,False
HND-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,Honduras,MiAmbiente_HND,LAC,False,False,False,Closed,28 Jan 2016,300000.0,2016-01-28,300000.0,2016,3684.0,1,1,4,12.611541086966115,81.43322475570032,0,0,0,,,,,,,,,,,,False
CAF-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,Central African Republic (the),UNDP,AF,False,True,False,Closed,29 Jan 2016,300000.0,2016-01-29,300000.0,2016,3683.0,1,1,4,12.611541086966115,81.45533532446375,0,0,0,UNDP,United Nations Development Programme,United States,False,International,Effectiveness,B.09, Medium,Public,41.0,1364041091.0,True
PwC,Support for direct access entities (ES),Direct Access Entry Support,Palau,PwC_GBR,AP,True,False,False,Closed,19 Feb 2016,37000.0,2016-02-19,37000.0,2016,3662.0,1,1,4,10.518700218288165,10.103768432550519,0,0,0,,,,,,,,,,,,False
TUN-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,Tunisia,OSS,AF,False,False,False,Closed,24 Feb 2016,300000.0,2016-02-24,300000.0,2016,3657.0,1,1,4,12.611541086966115,82.03445447087776,0,0,0,OSS,Sahara and Sahel Observatory,Tunisia,True,Regional,Effectiveness,B.18, Micro,Public,2.0,19423832.0,True
VUT-RS-001,Strategic Framework (SF),Strategic Framework,Vanuatu,SPREP,AP,True,False,False,Closed,16 Mar 2016,137316.0,2016-03-16,137316.0,2016,3636.0,1,1,4,11.830047400551743,37.76567656765677,0,0,0,SPREP,Secretariat of the Pacific Regional Environment Programme,Samoa,True,Regional,Effectiveness,B.09, Medium,Public,1.0,22953000.0,True
,Strategic Framework (SF),Strategic Framework,Senegal,IFC,AF,False,True,False,In Legal Processing,16 Mar 2016,600000.0,2016-03-16,600000.0,2016,3636.0,0,0,1,13.304686600863562,165.01650165016503,1,1,0,IFC,International Finance Corporation,United States,False,International,Effectiveness,B.12, Large,Public,4.0,644000000.0,True
GAB-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,Gabon,CDCGabon,AF,False,False,False,Closed,24 Mar 2016,300000.0,2016-03-24,300000.0,2016,3628.0,1,1,4,12.611541086966115,82.69018743109152,0,0,0,,,,,,,,,,,,False
COG-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,Congo,UNDP,AF,False,False,False,Cancelled,12 May 2016,37543.0,2016-05-12,37543.0,2016,3579.0,0,1,0,10.533268857474253,10.489801620564403,0,0,0,UNDP,United Nations Development Programme,United States,False,International,Effectiveness,B.09, Medium,Public,41.0,1364041091.0,True
PwC,Support for direct access entities (ES),Direct Access Entity Support,Seychelles,PwC_GBR,AF,True,False,False,Closed,19 May 2016,37000.0,2016-05-19,37000.0,2016,3572.0,1,1,4,10.518700218288165,10.358342665173572,0,0,0,,,,,,,,,,,,False
TLS-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,Timor-Leste,UNDP,AP,True,True,False,Closed,26 May 2016,300000.0,2016-05-26,300000.0,2016,3565.0,1,1,4,12.611541086966115,84.15147265077138,0,0,0,UNDP,United Nations Development Programme,United States,False,International,Effectiveness,B.09, Medium,Public,41.0,1364041091.0,True
MUS-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening & Country Programming,Mauritius,MoFED_TUV,AF,True,False,False,Cancelled,14 Jun 2016,1.0,2016-06-14,1.0,2016,3546.0,0,1,0,0.6931471805599453,0.0002820078962210942,0,0,0,,,,,,,,,,,,False
BGD-RS-002,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening,Bangladesh,GIZ,AP,False,True,False,Closed,17 Jul 2016,150000.0,2016-07-17,150000.0,2016,3513.0,1,1,4,11.918397239722838,42.69854824935952,0,0,0,GIZ,Deutsche Gesellschaft fuer Internationale Zusammenarbeit (GIZ) GmbH,Germany,False,International,Effectiveness,B.14, Medium,Public,13.0,484433798.01,True
ZWE-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,Zimbabwe,UNEP,AF,False,False,False,Closed,29 Jul 2016,300000.0,2016-07-29,300000.0,2016,3501.0,1,1,4,12.611541086966115,85.6898029134533,0,0,0,UNEP,United Nations Environment Programme,Kenya,False,International,Effectiveness,B.10, Medium,Public,13.0,368271309.63,True
SRB-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",Developing the capacities of the Republic of Serbia for an effective engagement with the Green Climate Fund,Serbia,UNEP,EE,False,False,False,Closed,21 Sept 2016,300000.0,2016-09-21,300000.0,2016,3447.0,1,1,4,12.611541086966115,87.03220191470844,0,0,0,UNEP,United Nations Environment Programme,Kenya,False,International,Effectiveness,B.10, Medium,Public,13.0,368271309.63,True
ALB-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,Albania,UNEP,EE,False,False,False,Closed,21 Sept 2016,300000.0,2016-09-21,300000.0,2016,3447.0,1,1,4,12.611541086966115,87.03220191470844,0,0,0,UNEP,United Nations Environment Programme,Kenya,False,International,Effectiveness,B.10, Medium,Public,13.0,368271309.63,True
MNE-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,Montenegro,UNEP,EE,False,False,False,Closed,21 Sept 2016,300000.0,2016-09-21,300000.0,2016,3447.0,1,1,4,12.611541086966115,87.03220191470844,0,0,0,UNEP,United Nations Environment Programme,Kenya,False,International,Effectiveness,B.10, Medium,Public,13.0,368271309.63,True
KGZ-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NSupporting the Kyrgyz Republic in its efforts to strengthen its capacities and develop a strategic framework for engagement with the Green Climate Fund.,Kyrgyzstan,FAO,AP,False,False,False,Closed,21 Sept 2016,300000.0,2016-09-21,300000.0,2016,3447.0,1,1,4,12.611541086966115,87.03220191470844,0,0,0,FAO,Food and Agriculture Organization of the United Nations,Italy,False,International,Accredited,B.14, Medium,Public,29.0,1087640232.0,True
TON-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,Tonga,MoFNP_TON,AP,True,False,False,Closed,28 Oct 2016,300000.0,2016-10-28,300000.0,2016,3410.0,1,1,4,12.611541086966115,87.97653958944281,0,0,0,,,,,,,,,,,,False
MAR-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,Morocco,BEYACapital_MAR,AF,False,False,False,Disbursed,28 Oct 2016,300000.0,2016-10-28,300000.0,2016,3410.0,0,0,3,12.611541086966115,87.97653958944281,0,0,0,,,,,,,,,,,,False
PwC,Support for direct access entities (ES),Direct Access Entity Support,Peru,PwC_GBR,LAC,False,False,False,Closed,31 Oct 2016,37215.01,2016-10-31,37215.01,2016,3407.0,1,1,4,10.524494324019988,10.923102436160846,0,0,0,,,,,,,,,,,,False
NAM-RS-001,Support for direct access entities (ES),EDA: Increasing Climate Change Resilience of Tourism-Reliant Communities in Namibia and Strengthening Institutional Capacities of the EIF as an accredited entity,Namibia,EIF,AF,False,False,False,Closed,1 Nov 2016,391009.0,2016-11-01,391009.0,2016,3406.0,1,1,4,12.876488414088026,114.80005871990605,0,0,0,EIF,Environmental Investment Fund,Namibia,True,National,Effectiveness,B.10, Micro,Public,4.0,37704000.0,True
GEO-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,Georgia,GIZ,EE,False,False,False,Closed,10 Nov 2016,300000.0,2016-11-10,300000.0,2016,3397.0,1,1,4,12.611541086966115,88.31321754489255,0,0,0,GIZ,Deutsche Gesellschaft fuer Internationale Zusammenarbeit (GIZ) GmbH,Germany,False,International,Effectiveness,B.14, Medium,Public,13.0,484433798.01,True
LBR-RS-002,Adaptation Planning,Adaptation Planning,Liberia,UNDP,AF,False,True,True,Closed,14 Nov 2016,2263466.7,2016-11-14,2263466.7,2016,3393.0,1,1,4,14.632408575820394,667.0989389920425,0,0,1,UNDP,United Nations Development Programme,United States,False,International,Effectiveness,B.09, Medium,Public,41.0,1364041091.0,True
NPL-RS-001,Adaptation Planning,Adaptation Planning,Nepal,UNEP,AP,False,True,True,Disbursed,14 Nov 2016,2935350.0,2016-11-14,2935350.0,2016,3393.0,0,0,3,14.892337595235281,865.1193633952255,0,0,1,UNEP,United Nations Environment Programme,Kenya,False,International,Effectiveness,B.10, Medium,Public,13.0,368271309.63,True
GMB-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,Gambia,Gambia,AF,False,True,False,Closed,17 Nov 2016,300000.0,2016-11-17,300000.0,2016,3390.0,1,1,4,12.611541086966115,88.49557522123894,0,0,0,,,,,,,,,,,,False
BLZ-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,Belize,CCCCC,LAC,True,False,False,Closed,14 Dec 2016,300000.0,2016-12-14,300000.0,2016,3363.0,1,1,4,12.611541086966115,89.20606601248885,0,0,0,CCCCC,Caribbean Community Climate Change Centre,Belize,True,Regional,Effectiveness,B.10, Small,Public,4.0,116522592.29,True
PwC,Support for direct access entities (ES),Support for direct access entities,Bangladesh,PwC_GBR,AP,False,True,False,Closed,14 Dec 2016,35077.78,2016-12-14,35077.78,2016,3363.0,1,1,4,10.46535166823028,10.430502527505203,0,0,0,,,,,,,,,,,,False
BHS-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",Strengthening Bahamas’ NDA and Developing its Country Programme ,Bahamas,CCCCC,LAC,True,False,False,Closed,23 Jan 2017,300000.0,2017-01-23,300000.0,2017,3323.0,1,1,4,12.611541086966115,90.27986758952754,0,0,0,CCCCC,Caribbean Community Climate Change Centre,Belize,True,Regional,Effectiveness,B.10, Small,Public,4.0,116522592.29,True
BRB-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,Barbados,Barbados,LAC,True,False,False,Cancelled,17 Feb 2017,56.0,2017-02-17,56.0,2017,3298.0,0,1,0,4.04305126783455,0.016979987871437233,0,0,0,,,,,,,,,,,,False
MDA-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)","Support to Republic of Moldova in establishment and strengthening the NDA, development of strategic framework, and preparation of country programme. ",Moldova,Moldova,EE,False,False,False,Closed,17 Feb 2017,300000.0,2017-02-17,300000.0,2017,3298.0,1,1,4,12.611541086966115,90.96422073984233,0,0,0,,,,,,,,,,,,False
GTM-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)","Implementation of Readiness Support in Guatemala: Strengthening institutional capacities of the Ministry of Environment and Natural Resources of Guatemala as the focal point for the GCF, and a broader group of stakeholders  ",Guatemala,IUCN,LAC,False,False,False,Closed,17 Feb 2017,371300.0,2017-02-17,371300.0,2017,3298.0,1,1,4,12.824768333401513,112.58338386901153,0,0,0,IUCN,International Union for Conservation of Nature,Switzerland,False,International,Effectiveness,B.12, Medium,Public,6.0,164650488.0,True
VCT-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,Saint Vincent and the Grenadines,"Saint Vincent and the Grenadines, Ministry of Economic Planning, Sustainable Development, Industry, Labour and Information",LAC,True,False,False,Closed,21 Feb 2017,300000.0,2017-02-21,300000.0,2017,3294.0,1,1,4,12.611541086966115,91.07468123861567,0,0,0,,,,,,,,,,,,False
KHM-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,Cambodia,MoFED_TUV,AP,False,True,False,Closed,22 Feb 2017,272338.0,2017-02-22,272338.0,2017,3293.0,1,1,4,12.514802892791087,82.70209535378075,0,0,0,,,,,,,,,,,,False
NRU-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",Strengthening the NDA Capacity and Strategic Engagement of Nauru with the Green Climate Fund ,Nauru,PIFS_FJI,AP,True,False,False,Closed,24 Feb 2017,339250.0,2017-02-24,339250.0,2017,3291.0,1,1,4,12.734495525371473,103.08416894560924,0,0,0,,,,,,,,,,,,False
JAM-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,Jamaica,Jamaica,LAC,True,False,False,Closed,1 Mar 2017,300000.0,2017-03-01,300000.0,2017,3286.0,1,1,4,12.611541086966115,91.29640900791236,0,0,0,,,,,,,,,,,,False
MRT-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,Mauritania,Mauritania,AF,False,True,False,Closed,3 Mar 2017,300000.0,2017-03-03,300000.0,2017,3284.0,1,1,4,12.611541086966115,91.35200974421437,0,0,0,,,,,,,,,,,,False
BFA-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",Building the engagement of Burkina Faso wit the GCF: Establishing and strengthening national institutions to engage with GCF and fomulate a country programme,Burkina Faso,IUCN,AF,False,True,False,Closed,3 Mar 2017,300000.0,2017-03-03,300000.0,2017,3284.0,1,1,4,12.611541086966115,91.35200974421437,0,0,0,IUCN,International Union for Conservation of Nature,Switzerland,False,International,Effectiveness,B.12, Medium,Public,6.0,164650488.0,True
OMN-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)","1-Strategic frameworks for engagement with the Fund, including the preparation of country programmes 2-Selection of implementing entities or intermediaries, and support for accrediation",Oman,SQU_OMN,AP,False,False,False,Closed,10 Mar 2017,300000.0,2017-03-10,300000.0,2017,3277.0,1,1,4,12.611541086966115,91.547146780592,0,0,0,,,,,,,,,,,,False
